Year,Team,Player,Position,Round,Pick,Overall Pick
2018,Michael,Greg Zuerlein,K,1,1,1
2018,Michael,Todd Gurley II,RB,1,2,2
2018,Jackson,Patrick Mahomes,QB,1,3,3
2018,McGwire,Saquon Barkley,RB,1,4,4
2018,Noah,Dalvin Cook,RB,1,5,5
2018,Klapp,Alvin Kamara,RB,1,6,6
2018,Haris,Allen Lazard,WR,1,7,7
2018,Haris,Ezekiel Elliott,RB,1,8,8
2018,Klapp,Le'Veon Bell,RB,1,9,9
2018,McGwire,David Johnson,RB,1,10,10
2018,Carter,Stephen Gostkowski,K,2,1,11
2018,Jackson,Odell Beckham Jr.,WR,2,2,12
2018,Michael,Tyreek Hill,WR,2,3,13
2018,Haris,Antonio Brown,WR,2,4,14
2018,Michael,Kareem Hunt,RB,2,5,15
2018,Dante,Mike Evans,WR,2,6,16
2018,Dante,Zach Ertz,TE,2,7,17
2018,Carter,Julio Jones,WR,2,8,18
2018,Dante,Leonard Fournette,RB,2,9,19
2018,McGwire,Matt Bryant,K,2,10,20
2018,Dante,DeAndre Hopkins,WR,3,1,21
2018,Noah,Keenan Allen,WR,3,2,22
2018,Zach,Stefon Diggs,WR,3,3,23
2018,McGwire,Aaron Rodgers,QB,3,4,24
2018,Noah,Devonta Freeman,RB,3,5,25
2018,Haris,Drew Brees,QB,3,6,26
2018,Michael,Rob Gronkowski,TE,3,7,27
2018,Klapp,Carson Wentz,QB,3,8,28
2018,Nathan,A.J. Green,WR,3,9,29
2018,Nathan,Davante Adams,WR,3,10,30
2018,Klapp,Deshaun Watson,QB,4,1,31
2018,Klapp,Jarvis Landry,WR,4,2,32
2018,Carter,Doug Baldwin,WR,4,3,33
2018,Haris,LeSean McCoy,RB,4,4,34
2018,Zach,Jerick McKinnon,RB,4,5,35
2018,Zach,Derrius Guice,RB,4,6,36
2018,Zach,Eagles D/ST,D/ST,4,7,37
2018,Michael,Matthew Stafford,QB,4,8,38
2018,Jackson,Melvin Gordon III,RB,4,9,39
2018,Zach,Adam Thielen,WR,4,10,40
2018,Nathan,Amari Cooper,WR,5,1,41
2018,Carter,Tyrell Williams,WR,5,2,42
2018,Jackson,JuJu Smith-Schuster,WR,5,3,43
2018,Dante,Brandin Cooks,WR,5,4,44
2018,Nathan,Michael Thomas,WR,5,5,45
2018,Carter,Christian McCaffrey,RB,5,6,46
2018,Noah,Rams D/ST,D/ST,5,7,47
2018,Carter,Carlos Hyde,RB,5,8,48
2018,Nathan,Josh Gordon,WR,5,9,49
2018,Carter,William Fuller V,WR,5,10,50
2018,Haris,Justin Tucker,K,6,1,51
2018,Noah,Travis Kelce,TE,6,2,52
2018,Haris,Dion Lewis,RB,6,3,53
2018,Zach,Golden Tate,WR,6,4,54
2018,Noah,T.Y. Hilton,WR,6,5,55
2018,Carter,Cam Newton,QB,6,6,56
2018,Zach,Jaguars D/ST,D/ST,6,7,57
2018,McGwire,Nelson Agholor,WR,6,8,58
2018,Carter,Joe Mixon,RB,6,9,59
2018,McGwire,Ravens D/ST,D/ST,6,10,60
2018,Nathan,Alex Collins,RB,7,1,61
2018,Michael,DJ Moore,WR,7,2,62
2018,Jackson,Royce Freeman,RB,7,3,63
2018,Zach,Wil Lutz,K,7,4,64
2018,Carter,Larry Fitzgerald,WR,7,5,65
2018,Klapp,Vikings D/ST,D/ST,7,6,66
2018,Carter,Texans D/ST,D/ST,7,7,67
2018,Carter,Jalen Richard,RB,7,8,68
2018,Nathan,Jordan Howard,RB,7,9,69
2018,McGwire,Allen Robinson,WR,7,10,70
2018,Zach,Marshawn Lynch,RB,8,1,71
2018,Klapp,David Njoku,TE,8,2,72
2018,Carter,Marvin Jones Jr.,WR,8,3,73
2018,Noah,Mark Ingram II,RB,8,4,74
2018,Nathan,Demaryius Thomas,WR,8,5,75
2018,Haris,Kyle Rudolph,TE,8,6,76
2018,Zach,Randall Cobb,WR,8,7,77
2018,Noah,Jay Ajayi,RB,8,8,78
2018,Zach,Sterling Shepard,WR,8,9,79
2018,McGwire,Chris Hogan,WR,8,10,80
2018,McGwire,Michael Crabtree,WR,9,1,81
2018,Klapp,Jake Elliott,K,9,2,82
2018,Jackson,Greg Olsen,TE,9,3,83
2018,Zach,Tom Brady,QB,9,4,84
2018,Carter,Kenyan Drake,RB,9,5,85
2018,Nathan,Evan Engram,TE,9,6,86
2018,Zach,Alshon Jeffery,WR,9,7,87
2018,Zach,Jimmy Graham,TE,9,8,88
2018,Haris,Cooper Kupp,WR,9,9,89
2018,Jackson,Delanie Walker,TE,9,10,90
2018,Haris,Devin Funchess,WR,10,1,91
