Year,Week,Team,Player,Position,Slot Position,Points,Projected Points
2019,1,Justin,Christian McCaffrey,RB,RB,42.9,20.96
2019,1,Justin,Patrick Mahomes,QB,QB,27.32,19.91
2019,1,Justin,T.Y. Hilton,WR,WR,28.7,12.78
2019,1,Justin,Sony Michel,RB,RB,1.4,11.88
2019,1,Justin,DJ Moore,WR,WR,12.6,13.01
2019,1,Justin,Calvin Ridley,WR,RB/WR/TE,16.4,11.47
2019,1,Justin,David Njoku,TE,TE,13.7,8.83
2019,1,Justin,Greg Zuerlein,K,K,14.0,8.85
2019,1,Justin,Christian Kirk,WR,BE,10.4,10.34
2019,1,Justin,Ronald Jones,RB,BE,10.3,6.05
2019,1,Justin,Chargers D/ST,D/ST,D/ST,1.0,7.86
2019,1,Justin,Courtland Sutton,WR,BE,19.0,10.27
2019,1,Justin,Kenny Stills,WR,BE,12.7,6.94
2019,1,Justin,C.J. Anderson,RB,BE,3.5,5.72
2019,1,Justin,John Ross,WR,BE,34.8,9.03
2019,1,Justin,Greg Olsen,TE,BE,7.6,8.41
2019,1,Klapp,Todd Gurley II,RB,RB,11.1,16.98
2019,1,Klapp,Tyreek Hill,WR,WR,4.1,17.29
2019,1,Klapp,Stefon Diggs,WR,WR,5.7,14.33
2019,1,Klapp,George Kittle,TE,TE,13.4,14.89
2019,1,Klapp,Marlon Mack,RB,RB,25.4,11.05
2019,1,Klapp,Tarik Cohen,RB,RB/WR/TE,12.9,11.22
2019,1,Klapp,Russell Wilson,QB,QB,16.6,18.19
2019,1,Klapp,Bears D/ST,D/ST,D/ST,10.0,7.49
2019,1,Klapp,Wil Lutz,K,K,14.0,9.57
2019,1,Klapp,Robbie Chosen,WR,BE,5.3,11.41
2019,1,Klapp,Adrian Peterson,RB,BE,0.0,0.0
2019,1,Klapp,Golden Tate,WR,BE,0.0,0.0
2019,1,Klapp,DaeSean Hamilton,WR,BE,2.5,9.19
2019,1,Klapp,Donte Moncrief,WR,BE,3.7,9.86
2019,1,Klapp,Darren Waller,TE,BE,14.0,8.65
2019,1,Klapp,Devin Singletary,RB,BE,14.8,10.12
2019,1,Dante,Michael Thomas,WR,WR,22.3,18.52
2019,1,Dante,Joe Mixon,RB,RB,3.7,16.23
2019,1,Dante,Zach Ertz,TE,TE,10.4,13.17
2019,1,Dante,Phillip Lindsay,RB,BE,10.6,11.87
2019,1,Dante,Tevin Coleman,RB,RB/WR/TE,7.6,11.66
2019,1,Dante,Chris Carson,RB,RB,24.0,15.64
2019,1,Dante,Cooper Kupp,WR,WR,11.6,12.59
2019,1,Dante,Eric Ebron,TE,BE,1.8,7.4
