Year,Week,Home Team,Home Player,Home Player Points,Position,Away Player Points,Away Player,Away Team
2019,1,Andrew,Tom Brady,25.64,QB,5.36,Cam Newton,Carter
2019,1,Andrew,Dalvin Cook,26.0,RB1,24.3,Josh Jacobs,Carter
2019,1,Andrew,David Johnson,25.7,RB2,5.5,David Montgomery,Carter
2019,1,Andrew,Tyler Boyd,14.3,WR1,31.1,DeAndre Hopkins,Carter
2019,1,Andrew,Mike Evans,4.8,WR2,17.2,Allen Robinson,Carter
2019,1,Andrew,Jared Cook,5.7,TE,28.6,Evan Engram,Carter
2019,1,Andrew,Tyler Lockett,11.4,FLEX,14.2,Dede Westbrook,Carter
2019,1,Andrew,Saints D/ST,4.0,D/ST,-1.0,Broncos D/ST,Carter
2019,1,Andrew,Matt Prater,11.0,K,16.0,Stephen Gostkowski,Carter
2019,1,Dante,Kirk Cousins,14.32,QB,9.44,Jared Goff,Zach
2019,1,Dante,Chris Carson,24.0,RB1,22.7,Mark Ingram II,Zach
2019,1,Dante,Joe Mixon,3.7,RB2,10.5,James Conner,Zach
2019,1,Dante,Michael Thomas,22.3,WR1,14.2,Kenny Golladay,Zach
2019,1,Dante,Cooper Kupp,11.6,WR2,14.1,Odell Beckham Jr.,Zach
2019,1,Dante,Zach Ertz,10.4,TE,12.0,Jimmy Graham,Zach
2019,1,Dante,Tevin Coleman,7.6,FLEX,13.2,James White,Zach
2019,1,Dante,Ravens D/ST,14.0,D/ST,19.0,Jets D/ST,Zach
2019,1,Dante,Matt Bryant,0.0,K,11.0,Robbie Gould,Zach
2019,1,Haris,Dak Prescott,33.4,QB,23.92,Philip Rivers,Ethan
2019,1,Haris,Le'Veon Bell,23.2,RB1,28.9,Derrick Henry,Ethan
2019,1,Haris,Ezekiel Elliott,13.3,RB2,4.1,Devonta Freeman,Ethan
2019,1,Haris,Amari Cooper,22.6,WR1,13.8,JuJu Smith-Schuster,Ethan
2019,1,Haris,Jarvis Landry,11.7,WR2,5.9,Brandin Cooks,Ethan
2019,1,Haris,Austin Hooper,16.7,TE,22.5,Delanie Walker,Ethan
2019,1,Haris,William Fuller V,8.9,FLEX,4.7,Kenyan Drake,Ethan
2019,1,Haris,Browns D/ST,1.0,D/ST,-8.0,Jaguars D/ST,Ethan
2019,1,Haris,Brett Maher,5.0,K,6.0,Jake Elliott,Ethan
2019,1,Justin,Patrick Mahomes,27.32,QB,16.6,Russell Wilson,Klapp
2019,1,Justin,Christian McCaffrey,42.9,RB1,25.4,Marlon Mack,Klapp
2019,1,Justin,Sony Michel,1.4,RB2,11.1,Todd Gurley II,Klapp
2019,1,Justin,T.Y. Hilton,28.7,WR1,5.7,Stefon Diggs,Klapp
2019,1,Justin,DJ Moore,12.6,WR2,4.1,Tyreek Hill,Klapp
